Project_ID,Empno,Start_Date,End_Date,Task,Status
401,7001,01-Apr-11,20-Apr-11,System Analysis,Completed
401,7002,21-Apr-11,30-May-11,System Design,Completed
401,7003,01-Jun-11,15-Jul-11,Coding,Completed
401,7004,18-Jul-11,01-Sep-11,Coding,Completed
401,7006,03-Sep-11,15-Sep-11,Testing,Completed
401,7009,18-Sep-11,05-Oct-11,Code Change,Completed
401,7008,06-Oct-11,16-Oct-11,Testing,Completed
401,7007,06-Oct-11,22-Oct-11,Documentation,Completed
401,7011,22-Oct-11,31-Oct-11,Sign off,Completed
402,7010,01-Aug-11,20-Aug-11,System Analysis,Completed
402,7002,22-Aug-11,30-Sep-11,System Design,Completed
402,7004,01-Oct-11,,Coding,In Progress
